"Time","Processes"
2023-04-03 20:03:40,4120.2
2023-04-03 20:04:00,2279
2023-04-03 20:04:20,2105
2023-04-03 20:04:40,3490.6
2023-04-03 20:05:00,4240
2023-04-03 20:05:20,4066.2
2023-04-03 20:05:40,1371
2023-04-03 20:06:00,1958.2
2023-04-03 20:06:20,1536
2023-04-03 20:06:40,1988.2
2023-04-03 20:07:00,4020.2
2023-04-03 20:07:20,4096.6
2023-04-03 20:07:40,1480
2023-04-03 20:08:00,2112
2023-04-03 20:08:20,2103.4
2023-04-03 20:08:40,2112.8
2023-04-03 20:09:00,3657.8
2023-04-03 20:09:20,4187
2023-04-03 20:09:40,1236.2
2023-04-03 20:10:00,2118.8
2023-04-03 20:10:20,2275.2
2023-04-03 20:10:40,1229.2
2023-04-03 20:11:00,2663.6
2023-04-03 20:11:20,4198
2023-04-03 20:11:40,4186
2023-04-03 20:12:00,1623
2023-04-03 20:12:20,2504.4
2023-04-03 20:12:40,2587.8
2023-04-03 20:13:00,1909
2023-04-03 20:13:20,3244.6
2023-04-03 20:13:40,4263.8
2023-04-03 20:14:00,4149.6
2023-04-03 20:14:20,1713.6
2023-04-03 20:14:40,2591.6
2023-04-03 20:15:00,2756.6
2023-04-03 20:15:20,1240.4
2023-04-03 20:15:40,2821.8
2023-04-03 20:16:00,4193.2
2023-04-03 20:16:20,4163.2
2023-04-03 20:16:40,1280.6
2023-04-03 20:17:00,2015.6
2023-04-03 20:17:20,3171
2023-04-03 20:17:40,3086.8
2023-04-03 20:18:00,1988.4
2023-04-03 20:18:20,3529.2
2023-04-03 20:18:40,4212.4
2023-04-03 20:19:00,4174.4
2023-04-03 20:19:20,1219
2023-04-03 20:19:40,2001
2023-04-03 20:20:00,2258.4
2023-04-03 20:20:20,1227.4
2023-04-03 20:20:40,2767.8
2023-04-03 20:21:00,4218.2
2023-04-03 20:21:20,3790.2
2023-04-03 20:21:40,1386.8
2023-04-03 20:22:00,2283.2
2023-04-03 20:22:20,2412.6
2023-04-03 20:22:40,1430.8
2023-04-03 20:23:00,3272.2
2023-04-03 20:23:20,4153.2
2023-04-03 20:23:40,3234.8
2023-04-03 20:24:00,1579.8
2023-04-03 20:24:20,2697.4
2023-04-03 20:24:40,2928.25
2023-04-03 20:25:00,1213.8
